CardImageURLs:	
B01/B01-001SR_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/9v6rh061arah6w0/B01-001SR_SAMPLE.png 
B01/B01-001SRplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/fbbqndc1c1xall9/B01-001SRplus_SAMPLE.png
B01/B01-002N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/6w3jzefynzqubvi/B01-002N_SAMPLE.png
B01/B01-003HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/8qarq6u3sav6ewq/B01-003HN_SAMPLE.png
B01/B01-003STplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/w92rsh1u7oo3552/B01-003STplus_SAMPLE.png
B01/B01-004SR_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/w2ylvxqjzyu0xxi/B01-004SR_SAMPLE.png
B01/B01-004SRplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/ukfk6vgcrttr2ix/B01-004SRplus_SAMPLE.png
B01/B01-005N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/s7wl7qmp1scri3i/B01-005N_SAMPLE.png
B01/B01-006HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/x2ki06hr6d1t6sa/B01-006HN_SAMPLE.png
B01/B01-007R_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/s2xx9dfym8e0l3o/B01-007R_SAMPLE.png
B01/B01-008N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/mfb264i6u8iuwj8/B01-008N_SAMPLE.png
B01/B01-009R_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/1vlozgyjg1wexo6/B01-009R_SAMPLE.png
B01/B01-010N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/yx4os6brld96v5v/B01-010N_SAMPLE.png
B01/B01-011HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/jc0jjruc43pnqvr/B01-011HN_SAMPLE.png
B01/B01-012N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/83ud2zbv9owhc4u/B01-012N_SAMPLE.png
B01/B01-013HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/i4rnyvctntzosli/B01-013HN_SAMPLE.png
B01/B01-014N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/7uo4f41yz2kog6a/B01-014N_SAMPLE.png
B01/B01-015N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/x3su9ivkuv3s2cv/B01-015N_SAMPLE.png
B01/B01-016SR_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/f6458r8ebffqip9/B01-016SR_SAMPLE.png
B01/B01-017N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/las7d1zpm1bkfa9/B01-017N_SAMPLE.png
B01/B01-018HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/tbr2p8odhsldlgj/B01-018HN_SAMPLE.png
B01/B01-019N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/mr0dhv9zbpsf1hh/B01-019N_SAMPLE.png
B01/B01-020N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/21gfmksc13dja3d/B01-020N_SAMPLE.png
B01/B01-021HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/4kq8o0dsbievgx4/B01-021HN_SAMPLE.png
B01/B01-022SR_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/9u7y8u301v7y42t/B01-022SR_SAMPLE.png 
B01/B01-022SRplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/3fqxvgqqo46jcp9/B01-022SRplus_SAMPLE.png
B01/B01-023N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/wnfwczuxob10z4f/B01-023N_SAMPLE.png
B01/B01-024HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/4og9wvisuyl3115/B01-024HN_SAMPLE.png
B01/B01-025HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/gk4dkhmr1sh3yfl/B01-025HN_SAMPLE.png
B01/B01-026N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/rrwr65uy3m5ujt9/B01-026N_SAMPLE.png
B01/B01-027HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/qc5sby4ic7y56rr/B01-027HN_SAMPLE.png
B01/B01-028R_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/ikwrwvk3478rjfq/B01-028R_SAMPLE.png
B01/B01-029N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/06wzbdlrccv3v0s/B01-029N_SAMPLE.png
B01/B01-030R_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/si08t6po5rbax9u/B01-030R_SAMPLE.png
B01/B01-030Rplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/pr33k65o7qigh7q/B01-030Rplus_SAMPLE.png
B01/B01-031N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/0yecxeg74ibdqgu/B01-031N_SAMPLE.png
B01/B01-032HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/i4k815sovf4j2ky/B01-032HN_SAMPLE.png
B01/B01-033N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/3ddky4am2vpl2hn/B01-033N_SAMPLE.png
B01/B01-034HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/siyvs7xhpd86giw/B01-034HN_SAMPLE.png
B01/B01-035R_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/ksuzb4eko4jn7xa/B01-035R_SAMPLE.png
B01/B01-036N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/mlc3s6gzbpd9f5e/B01-036N_SAMPLE.png
B01/B01-036STplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/ms90woduwu0i0nr/B01-036STplus_SAMPLE.png
B01/B01-037N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/1pzq9iojnxsu4hw/B01-037N_SAMPLE.png
B01/B01-038R_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/9f9vp0nqu1mjpmj/B01-038R_SAMPLE.png
B01/B01-038Rplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/y1v1auum4kz9780/B01-038Rplus_SAMPLE.png
B01/B01-039N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/ex7cr8thhcte1nq/B01-039N_SAMPLE.png
B01/B01-040R_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/v5wyjumg4l1wi5c/B01-040R_SAMPLE.png
B01/B01-040Rplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/xxfjk2a0fro8hn4/B01-040Rplus_SAMPLE.png
B01/B01-041N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/zkuhx6vaaj5n0qy/B01-041N_SAMPLE.png
B01/B01-042R_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/dk5qyut554ai067/B01-042R_SAMPLE.png
B01/B01-042Rplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/z3990awcjbh2a2o/B01-042Rplus_SAMPLE.png
B01/B01-043N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/rhzd93mqbtsfep5/B01-043N_SAMPLE.png
B01/B01-044N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/7txsuvgr8c8xta9/B01-044N_SAMPLE.png
B01/B01-045HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/weu5tvokaxvui3w/B01-045HN_SAMPLE.png
B01/B01-046SR_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/ybu3y89r0lax5yj/B01-046SR_SAMPLE.png
B01/B01-047N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/xgy7n026v9wip1s/B01-047N_SAMPLE.png
B01/B01-048N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/gx8ittzejovj2tw/B01-048N_SAMPLE.png
B01/B01-049N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/3tk4ih0ucf8853n/B01-049N_SAMPLE.png
B01/B01-050SR_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/vkf47276dta406p/B01-050SR_SAMPLE.png 
B01/B01-051SR_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/y0op0v159hc40wq/B01-051SR_SAMPLE.png
B01/B01-051SRplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/bn9xmrgy092hjpu/B01-051SRplus_SAMPLE.png 
B01/B01-052N_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/crbzyaul2cfptqm/B01-052N_SAMPLE.png 
B01/B01-053HN_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/3onuo2no5oqogn8/B01-053HN_SAMPLE.png 
B01/B01-053STplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/o6egsb8et1vfq64/B01-053STplus_SAMPLE.png 
B01/B01-054SR_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/43kzdgfignp95h3/B01-054SR_SAMPLE.png
B01/B01-054SRplus_SAMPLE.jpg	https://dl.dropboxusercontent.com/s/j9pbdsymflmsbs5/B01-054SRplus_SAMPLE.png
